minute,event_med_pct,rest_med_pct
86,0.16103599825545434,0.037994509880290295
87,0.189090535521097,0.03699447774430098
88,0.14514810743777584,0.04607489309222945
89,0.11373483535528361,0.03388110712130299
90,0.11896825803805466,0.045160978152802844
91,0.15554757875666514,0.07529941636356119
92,0.14187306633848262,0.06367760272358858
93,0.16067552091345583,0.0626189692328305
94,0.11196007042373335,0.04350327421217548
95,0.10768678529307074,0.04533088420707321
96,0.12648923986804395,0.03826089946665778
97,0.16409414901801256,0.013480698144352488
98,0.12136129771123105,0.03553544276311271
99,0.1987216324067287,0.03326007916116813
100,0.18106462144973356,0.04395126821574724
101,0.140935051092983,0.03547821234518578
102,0.1811872895407074,0.04193088901360831
103,0.14937572221751516,0.0447198225805967
104,0.19484470881834248,0.035896061532258994
105,0.15536564459326385,0.061342232076899705
106,0.17303870737837013,0.041060580972229754
107,0.2042630292463654,0.0432895537797795
108,0.1902426650883582,0.01463491979071252
109,0.18883346016178582,0.033477918567792475
110,0.21419009370817754,0.035963790150017605
111,0.21062025881302127,0.03497807472563341
112,0.1954484605086959,0.04907635861491899
113,0.22846943328871383,0.03775488779326208
114,0.20999874000755536,0.05362730203858357
115,0.14704864715244792,0.02132339041496234
116,0.12136264852813383,0.012282333905222487
117,0.1469532254563033,0.011450269185153683
118,0.18759887440675804,0.0039012109568137276
119,0.20719875680745847,0.014712189792143171
120,0.19455600178492904,0.011862962402486854
121,0.2070504239178872,0.014036585229082466
122,0.1981949643607983,0.017504282869806875
123,0.18116912092815962,0.009081290645995832
124,0.16261850390977273,0.017966099504240773
125,0.1383987267317366,0.005463506923442107
126,0.15744585149817247,-0.00134470478156401
127,0.15429737311911662,-0.005239238971821436
128,0.17081297512215876,0.003562097552245458
129,0.1742541841889711,0.0027119631309302505
130,0.18063277920463694,-0.005398963819902569
131,0.1923009011496335,-0.007782916282295105
132,0.20321187660521378,0.006383335580451011
133,0.22155739324321022,-0.001797475380932445
134,0.17342514664626663,-0.0021071973432540414
135,0.18532687239649626,0.014134225494166763
136,0.21802069187586426,0.01385112850776915
137,0.21483246678222212,0.0147074314637341
138,0.22804178313962087,0.013243979171151388
139,0.2482359942191703,0.02447033424926026
140,0.2686389526481481,0.02436916821795254
141,0.23489876782638586,0.034038594865515304
142,0.2482359942191703,0.0341894932878839
143,0.2354841452010481,0.02480631511071474
144,0.21414676409525768,0.03779982944148719
145,0.2667155880443639,0.024061344903780757
146,0.2610708136942197,0.037005910801168884
147,0.2212460837828223,0.03484481296128772
148,0.2624820072817613,0.03475609892089615
149,0.218735006068127,0.02188882012041926
150,0.25746911206592227,0.021205708121663225
151,0.20490323512420971,0.03737914298354017
152,0.22199627737644612,0.027938999021259736
153,0.17554712186313992,0.030077821301177643
154,0.20039076198585803,0.016359222668416162
155,0.22876915634197914,0.015333892419144846
156,0.20206068500241425,0.012242375349080792
157,0.20898466888468192,0.013852784353451941
158,0.13207831073511755,0.009591792261676169
