minute_index,2018,2019,2020,2021,2022,2023,2024,2025+
29,3.334145334568661,2.4745125210334784,4.36633555288779,3.259875365153597,4.936163441172092,2.992601131975303,3.0856824335101507,3.1431974589735123
30,4.968637470488257,3.734528382415281,6.598754485089842,4.534421594516447,10.429889774632993,5.711519549254085,5.109188538785503,4.863373897128209
31,4.565045727890071,3.2691646581772815,4.350008365400226,4.434947768281461,7.3688487432627126,4.891125579614686,3.5187216691157097,3.3083005260214904
32,4.048496590113859,2.9766334275938,4.193429987153774,3.5877657188976286,7.152598858655712,4.390728483631423,3.4201285968360473,3.4043928747640173
33,3.335186307310556,2.6560424966803886,4.470016230699869,2.998063125732031,6.069772920876959,3.9801195685851276,3.338377993411523,3.4559278256751647
34,3.456246109308503,2.788466900898179,3.529328721676439,2.996479137014063,5.576859402027234,3.6678962732988873,3.854773005185219,3.5450707402762127
35,4.360846206928892,2.684419628475876,5.629838142153787,3.555779251540603,6.95825357508284,4.297685275644891,3.3731914901602433,3.3190513547765033
36,3.819302907024369,3.093421323984158,3.8957147138152237,3.145890680299468,6.063732623913798,4.364635474332634,3.4936023407139416,3.2247662044504466
37,3.3152729404667403,3.0429781988661198,4.083966348118473,3.416670146365597,6.932730412859134,3.9574054378765933,3.0735550247229515,3.183384149575419
38,3.7450189706356163,2.1964229683080205,3.6461126005371547,3.0545010254401372,6.0109348911452365,3.5367417518783473,3.085807489695558,3.350243608418735
39,3.8579260448129427,2.4080138701609854,3.56021620221858,3.1429244912395404,5.599304436300079,3.0789096135630523,3.102961918194369,3.0721711116266093
40,3.9042137362138574,2.6680707487369837,4.866443170756796,3.445812543415583,5.584971205751521,4.30897573896083,3.2038643533116584,3.464031803110945
41,3.7587860520671423,2.965263980035937,3.752693765326498,3.272432149812321,6.376498420220256,3.329593289082,3.2237121941391944,3.522713308483638
42,3.1297629156518125,2.4778234798539245,4.452512244410567,3.03372955679837,6.52796066884509,4.291129046259945,3.2585407199858807,3.4617191556707283
43,3.1653687774280126,2.3272050267619804,3.8599028111030442,2.7739251040226343,5.332228908491166,3.5733298002588176,3.5012473193574145,2.781277097001489
44,3.406981586949187,2.3194247826530123,3.556532703934412,3.0646644192466876,4.901315349581381,3.4376795003709937,2.5883237283896854,3.0342228397128856
45,4.08169206893183,3.0536046414786355,4.290188339268752,3.472332834253411,6.966398425592435,4.2851569890911545,3.0276729305867,3.121964756486184
46,3.312938918828001,2.807411566536633,4.79785056294757,3.029022344128718,6.807425710338988,3.4180327738808636,3.090553209025293,3.2304379038061715
47,2.7924530783041135,2.5801124929036856,3.8557107360115417,3.1122718231146873,5.928992114324072,3.2811889705020025,2.4617588147757274,3.0678901318592633
48,3.0738830040721865,2.230027317833283,3.9020160416214367,2.7622020274553627,5.459096085140835,3.2443657897479605,2.9199922133560374,3.0839650051128764
49,2.9825847898917734,2.350974348257484,3.539247469752649,2.881800670397894,5.16670948228215,3.147721861365138,2.5484790213847752,2.9043969342468223
50,3.183753041019477,2.357991297189388,4.114633694736192,3.135484275547107,5.722387690504371,3.6449962949441916,2.948051127629192,3.0698477239687882
51,3.741554658297508,2.4310198128107974,3.7147102525991738,3.153407788794027,6.33939249168991,3.717226269555063,3.0317871219009973,3.205842997323627
52,3.2209531697657834,2.11014982063662,3.5119664103921977,2.8096903096908044,5.175341861938243,3.245146105738672,2.9559562518466365,3.1871300652608348
53,2.670763280733235,2.1586616297908368,3.656051725574594,2.4402042921911615,5.268501271336046,3.206894554704798,2.4717335749768754,3.2028049828891625
54,3.5390944955904224,1.9550342130991716,3.572385460390848,2.8373878111809248,5.368277033834801,3.5883738927244835,3.059975520195435,2.456117369662447
55,3.3267342220044682,2.5795800443684236,3.702846563296003,2.798063739890555,5.388465714389334,3.073435917181344,3.1948594666242336,3.425408308670441
56,2.9428778068207873,2.2004889975546504,4.020729092208963,2.707744148263691,5.6401949556506015,3.388661478248012,2.6757046022130027,3.4421715184895785
57,2.7677663963421306,2.382648613993288,3.346248810365271,2.6238455079774514,5.415717693464939,3.409620422748505,2.6303010683070838,2.947871800331736
58,3.2487224930422,2.0784801721096535,3.8342536595892263,2.7166383378185444,5.435604990357001,3.469429788371947,2.806991279613591,3.2305460403225794
59,2.9271791044005457,2.1122669905482283,3.4681579745954316,2.8676119165216285,5.291865242584293,3.0060258560182795,2.5305857029878087,2.9416571335172392
60,3.6123908955149053,3.123048094941794,4.296406847115186,3.6677058499900994,6.6650857878974845,3.4903791807583406,3.340969835816665,3.3705160099506415
61,3.054599587657414,2.579713135899553,3.81569955569816,2.938897646210803,5.376020710335938,3.660100184665893,2.4912355594930435,2.5801810605752262
62,3.001266428991345,2.5758590489921573,3.4729759062313015,2.8105677346812463,5.21957853212629,3.367974080277225,2.5265246438843647,2.8020900295055995
63,3.325807337531961,2.1666125013541926,3.596216779948591,2.8015564202332754,5.8984598209388395,3.228924012358414,2.951842793286197,2.8926815157670482
64,3.282784319099674,2.2054556006967374,3.3388981636062187,2.452249257514083,4.785826087455591,3.028872780426184,2.4319603811551183,2.8181622266787443
65,3.6032462481172534,2.668232029456874,4.103038537472958,2.8130274426452218,4.847981494416342,2.972779502978806,3.135287662642261,3.2548737451598697
66,2.961868791712119,2.271178741766189,3.2480890409469776,2.821272393849217,5.512321805332676,3.5120967437557438,3.4103364837756445,2.8255072668514902
67,3.5765562621198344,2.1428188782335322,3.59287584047685,2.5090840746777587,4.901941468600235,3.1595799026745697,3.001871670088585,2.6428164077185734
68,3.1070148581435753,2.11382973101637,3.4138431339081343,2.555665591159606,5.750516967634178,3.44297530297355,2.6938311267199477,2.7682526075167857
69,2.9701827306877204,2.1028283040680495,3.320458087687772,2.8995779503193653,4.428490125276685,2.8944170802774893,2.534014268449347,2.4191987613697563
70,3.5127584898442255,2.1178588447079427,4.508461137844311,3.1778271992188856,5.327399953416467,3.3688852398194857,2.669395381946771,2.89212378289716
71,3.046647992909768,2.126754572522316,3.074400491904772,2.6151311488264994,5.519239066076875,2.891478175879869,2.7522646095046177,2.7959737977301113
72,3.0931025710806415,2.4435539047984456,3.7391913998585657,2.4981631153564443,4.271509518638528,3.2747194491378195,3.054402298720005,2.7939847152613773
73,3.3216492653864726,2.13595343621642,3.201675643326185,2.4095659769274302,4.5330861097359065,2.620970387835486,2.5859839669006845,2.7256171752343406
74,3.026592873316414,2.193343203378273,3.5834587543903673,2.6722248944466287,4.552204237681101,2.9621901844556486,2.6042188345121176,2.387489554732669
75,3.564772898755897,2.2478641552403644,3.5713464941511397,3.1144886009726314,4.91079833703667,3.4906133336565226,2.6925752238204925,2.7915530887701046
76,3.0271041970775237,1.9553209170464214,3.9029880550423,2.4659392145998105,5.123846328209392,3.703393113203557,2.724930638129397,3.203885132287976
77,3.1588866008547267,2.1819834683256545,3.270348837208781,2.4415465042793016,4.75716134601234,2.9179466521783715,2.5547678354731485,3.103307472438477
78,3.152816049262208,2.1428188782335322,3.2589803012761376,2.9631775799376925,5.232679046235367,2.8667263110410124,2.6992795000113645,2.897524226521675
79,2.7917596217558183,2.073935811686134,3.290074421057332,2.4828074559346547,4.059336303122163,3.436433417914886,2.595263080691357,2.262778638291163
