minute_index,2018,2019,2020,2021,2022,2023,2024,2025+
132,0.18349677034105968,0.2257586355029203,0.2120765488234269,0.22241729664765886,0.20357382369654783,0.22684084903919607,0.19567398083825582,0.21183424090061148
133,0.18951580208939647,0.1876980303498133,0.19858387736821068,0.22874302379558253,0.21012547274929214,0.2257881785268239,0.1877727614289727,0.22530446072388027
134,0.1919971484680238,0.24170555664954782,0.2087387987457518,0.20568281530363267,0.18549532974137264,0.18935450537265472,0.19336623334882508,0.24662332169888593
135,0.21377296079412073,0.22380505703222364,0.22811501443340462,0.21238123906766243,0.19512045034139563,0.21854363597705526,0.20303839776032845,0.216616380275485
136,0.1854458088346124,0.30421562830407384,0.20365098790472552,0.20287810720762695,0.20419400416027778,0.20011683279170442,0.18465538477079757,0.22072465976241643
137,0.19821311773058956,0.20658333156203165,0.22463830979423755,0.19884237267571678,0.18384944951272433,0.20997556526559036,0.20292344458348147,0.22164091724602317
138,0.21686345074763913,0.17881087444593005,0.1839054410305308,0.18182757613394132,0.18934034701309946,0.234927291957978,0.18624075918643357,0.22123570737138773
139,0.19699216177726214,0.23396106806380296,0.18338143674706683,0.193314580694194,0.18226076437854638,0.19874877301205213,0.18498215219167613,0.20847289856775406
140,0.22031296045127546,0.20659346175401314,0.20584318108273736,0.21083236560720497,0.20166465427670577,0.23537935010673278,0.23312729060311094,0.25008575564919155
141,0.20704367353075714,0.20271055675834238,0.1868050053630365,0.185565263185004,0.20751424234226293,0.2182082329706837,0.21617509200030008,0.2448090152518067
142,0.19520223526671945,0.21502973642066808,0.19087487128574576,0.19240439990566802,0.1849543009665814,0.20721152430671433,0.19624633429685218,0.21354689428714052
143,0.21053168433882324,0.2069369147198477,0.1818268147348469,0.20735910629571241,0.173628256585692,0.20459847600141567,0.18659596915551974,0.2193265789230739
144,0.21313883270985903,0.2118137743292834,0.1729308768397477,0.19531415447495465,0.18269925304336063,0.18426124134587177,0.1827189232880435,0.23616386432623693
145,0.20778558709603936,0.2039351183587383,0.19109289480173405,0.1994213421307787,0.19480778018495326,0.1935475495980924,0.2004840938440392,0.22742130878313171
